,airline_sentiment,text,wordCount
10601,0,@USAirways Saying my friend missed her flight when she clearly sat next to me on the plane &amp; now you're Cancelled Flighting her flight home.. WTF!?,26
2543,0,"@united Yes, myself and about 200 other people also.",9
13909,0,@AmericanAir plz kys I have been sitting in this plane for an hour I want to leave,17
1092,0,"@united it was UA381 on 14 Feb. Point is, overselling flights= bad. Making people wait 1hr while you kick them off after boarding is worse",25
3778,0,"@united Nice ""partners"" you have. The delays keep increasing every 20 min @FtLauderdaleSun @orlandosentinel http://t.co/1AtEafnC6R",15
10103,0,@USAirways I packed a carry on for a reason. Thanks for making me check it. I hoped for better customer service in CLE also. #nothappy,25
12465,0,"@AmericanAir yes it is in Dulles and I need it delivered to the Embassy Suites in Herndon, VA. I'm still in Chicago from the fiasco in LAX",27
2061,0,@united I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket! Why?,27
4483,0,@SouthwestAir can you tell me why you Cancelled Flightled the flight vs delay,13
5433,0,@SouthwestAir were you handing out tickets while I was sleep ?,11
11481,0,"@USAirways new tag line ""but we got you there alive!""",10
4619,0,"@SouthwestAir like kelsey said, really bad spot for locals. Do you know how long it takes to find parking then walking over to the bellagio?",25
9574,0,@USAirways I've been on hold for 30 minutes and counting. #unacceptable,11
2849,0,@united please provide update on UA 791. This flight has been stranded by united with no information from the crew on the plane.,23
626,0,"@united I received 1 bag last night, I am still missing the other one.",14
9170,0,@USAirways   No one picks up the phone all day/  no opportunity to leave a voicemail,15
11406,0,"@USAirways so mad I can't even believe  you guys Cancelled Flight my connecting flight after I leave the first stop, &amp; give me a useless hotel voucher",27
1184,0,@united Do we know why UA5282 is delayed x2)? This is getting crazy. I've already had 2 overnight delays. #UnitedAirlines,20
12204,0,"@AmericanAir 1-the lavatory freezes, 2- problem with a nitrogen line 3-a low tire with the inflating equipment malfunctioning #AA2444 and...",20
7301,0,@JetBlue  if only the show was on the flight.  No ABC.  Oh well.  I'll live.  #nexttime #andthewinneris...,17
2648,0,@united when will I hear? Guitar was damaged in December. I use my guitar to earn a living. Get your act together!,22
13026,0,@AmericanAir You lost a customer today. Flight today was Cancelled Flightled and I had to find out by calling customer service yesterday.,22
11746,0,"@usairways told no gates open at #ORD, needed to wait 20mins. Still waiting after about 4 mins.",17
5238,0,@SouthwestAir don't you think a 4hr wait time to speak to an actual agent is ridiculous?! My flight was Cancelled Flightled this morning! #Getyourlife,24
7575,0,@JetBlue I'm also a mosaic customer and fly jet blue ALOT....,11
13914,0,@AmericanAir ok. Pilots are looking for agents  - they jumped out / FLT 5350 #DFW / this is crazy,19
9409,0,@USAirways How can I speak to a human? Need 2 find bag delayed 2/21. Website and 800 # are telling me 2 different things! Got hung up on 2x,29
5898,0,@SouthwestAir reviewing your oversize policy. Hardcase golfbags are free if under weight. How do we add guitars and instruments to the list?,22
4228,0,@united - could you please send me a phone # to the refunds department?  We have submitted our claim through email without success.,23
6490,0,@SouthwestAir Does anyone ever answer your phone? #poor,8
648,0,"@united but then again, maybe the @BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused",22
12736,0,"@AmericanAir @americanairlines #BQONPA flight #1641 delayed from POS-MIA, missed #2214 MIA- ATL need seat on last flight to ATL.",19
5110,0,@SouthwestAir On hold with airline 45 min and counting. Service is terrible!,12
263,0,@VirginAmerica there is something wrong with you website in Safari iPhone,11
3336,0,@united seriously? After waiting 2 hours on the plane for my 10:20 flight to leave at 3pm I have to leave the plane? Great. Just great.,26
12255,0,"@AmericanAir stop sending me back to ""customer relations ""I have hand written a letter to them, send in a letter, called them, no help!!",24
11955,0,"@AmericanAir Its not that I wasn't offered ""perks"" by @USAirways.  I ASKED and was told, ""NO."" #thenewamerican",17
1728,0,@united so unhelpful... http://t.co/vBfIeo2qJC,4
13819,0,"@AmericanAir - Appreciate your system is busy but when I call, having your automated system hang up on me is not helpful.",22
1779,0,"@united - well, now finally on board hopefully we take off this time and quickly. Well over an hour delay!!",20
85,0,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,16
13869,0,@AmericanAir @DuaneNClark  ever think about being prepared and bringing in more people? Does anyone have any business sense at AA?,20
12657,0,@AmericanAir what is going on with the flight 2417? It has been delay a lot .,16
3466,0,"@united reFlight Booking Problems would not have made me reach on time for my meeting. Also didn't wanna take a chance, Booked myself on @etihad instead",26
13943,0,@AmericanAir pathetic service,3
2076,0,@united that's not an apology. Say it.,7
13745,0,@AmericanAir We have been sitting on this bird #AA1457 for 2 hrs on the dfw tarmac.  Some water would be nice.  Where's your manners?,24
8374,0,@JetBlue not making a great first impression on my first flight. 20 minutes before boarding and the gate agent still can't assign me a seat?,25
8292,0,@JetBlue I can probably find some of them. Are the ticket #s on there?,14
9388,0,@USAirways our flight was rebooked with you and we want to change our seats or upgrade to 1st class. Can you help? Phones are down.,25
620,0,@united it was credit from my last trip that never came in the mail!,14
12668,0,@AmericanAir Best planes in the business. NOT? AA5411 today. http://t.co/I7Vdi9WqSF,10
4851,0,@SouthwestAir very disappointed in your handling of tonight's Cancelled Flighted Dallas flight.  Not that it was Cancelled Flighted but no contingencies.,21
8260,0,@JetBlue can you give me an update on flight 1684 MCO-&gt;JFK? They're saying mechanical issues but will not disclose what they are...,22
3146,0,"@united €202.88 is the difference between the booked flights, do you want screen shots?",14
12599,0,"@AmericanAir glad that you WANTED to help me, but you didn't. Have an agent call me before I rant about shitty service every day",24
7486,0,"@JetBlue  I shouldn't have to find them, they should tell us. I've flown Jet Blue since your first month. The experience isn't what it was.",25
11547,0,"@USAirways tell them to get on that, please.",8
9250,0,@USAirways I lost an ID on your plane and having trouble finding a contact for your lost and found in Cleveland Hopkins Airport. Please Help,25
14346,0,"@AmericanAir Where are your ticket offices in Boston? Impossible to book by phone or use voucher on website, what a headache! PLEASE HELP!",23
10000,0,@USAirways waiting all day at ATL since flight this am Cancelled Flightled. 1 standby told no seats and group of 15 shows up Late Flight and gets on to PHL,30
9009,0,"@USAirways: u didn't bother following up, we booked with @Delta.  @Delta understands cust srv: provided lunch 4 delays &amp; upgraded seats!",21
678,0,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication,29
10957,0,@USAirways is the worst. 45 minute delay in Boston. Not weather reLate Flightd. Going to miss our connecting flight. Gassing up the plane issue.,24
1739,0,@united stuck in YYZ because staff took a break? Not happy 1K....,12
9853,0,@usairways 2 people working the counter at #dca? Massive lines. Poorly played. #winterstorm,13
14053,0,@AmericanAir already did &amp; an automated voice told us to wait 2 hours. They have yet to call back.,19
10553,0,"@USAirways I'm assisting @marccopely. He is already rebooked. Agents rude, unhelpful, discourteous. #FrequentFlyers appalled. Unacceptable!!",15
2431,0,@united I would like 2 speak @United VP of #CustExp Jimmy Samartzis! I sent a survey/email about my awful flight exp http://t.co/OtFZ7CygUQ,22
1552,0,@united:  thanks for the miserable trip GNV&lt;&lt;&lt;FSD on 2.19-2.21.,9
12556,0,"@AmericanAir 2284, four hours Late Flightrs and we are finally flying out...too bad I missed my event",17
1820,0,"@united @czamkoff It's all about profit, and they don't really give a damn about paying customers!!!! #greed",17
11467,0,Spend 1 HOUR on hold with @USAirways .,8
5961,0,@SouthwestAir Yes I know that. Also noticed you offer A list boarding after A60. So your programs are too popular.,20
4801,0,@SouthwestAir is this a joke? My return flight is delayed too! 3 in a row! New record from you guys 💔😪,21
12119,0,@AmericanAir they will just say dumb things to beat around the bush ! If you're flight Cancelled Flightled be prepared for no compassion from them,25
13310,0,@AmericanAir Cancelled Flighting my flight today because of weather in Dallas without being charged?,14
6296,0,@SouthwestAir yea but I was hoping to avoid the ticket difference amount as a birthday courtesy? #flysouthwest #lovesouthwest #mybday,19
2298,0,@united rep wouldn't rebook. This is such a waste of time and poor communication,14
4278,0,@united feck guys. Stop Cancelled Flightling flights from EWR to RIC the weather is fine I both locations!!!,18
1971,0,"@united did your super computer 💩 ots pants? Lots of cranky people in line at CMH reFlight Booking Problems, delaying check-ins of on-time, direct flyers",25
518,0,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.,20
7242,0,@jetblue are going to let Fl382 into a gate in BOS any time soon? We're just sittin' here on the tarmac  waiting.,22
11183,0,@USAirways got rebooked. Sent to A9. Wrong gate! Traveled back to B13 for correct flight. #tired&amp;frustrated,16
3584,0,@United I'm pretty sure I've got shin splits from SPRINTING through IAH only to watch my plane pull away from the jet way...,23
807,0,@United I have no way of making phones calls... Need to handle via Twitter/email/web. Thank you!,16
11958,0,@AmericanAir they will just say dumb things to beat around the bush ! If you're flight Cancelled Flightled be prepared for no compassion from them,25
12928,0,"@AmericanAir can lie to you about where your lost bag is, but we are suppose to trust them with our lives thousands of feet in the air...",27
5190,0,"@SouthwestAir AH - did DM, no reply. On hold now over 2hrs. Just spent over $1k to get a United flight tmrw to get home. #lame",26
7363,0,@JetBlue yes. They are working on it. Hoping bag is on the next flight and will deliver home...,18
13520,0,@AmericanAir trying to get thru to agent since last night b/c AA changed our flight to 2 days from now. Infuriating! We need to get to SEA!,27
13055,0,@AmericanAir thanks for telling me my flight got Cancelled Flightled when it wasn't. Now I have a missing luggage because of you. Thanks fam!,24
6724,0,@SouthwestAir tried to rebook online but it says that I have to pay $200 for difference in price. Please help,20
11873,0,"@USAirways we are on the 2pm flight FLL to PHL and then connection to MAN. However, with the delays we might miss it. Can we go earlier?",27
13690,0,"@AmericanAir To think that I'm a ""Priority Member""! Wonder how you treat the plebes. I know which rewards card I'm Cancelled Flightling immediately.",23
14520,0,@AmericanAir my flt is at 7a tom. I have now rec'd notification that I'm going out from some other airport,20
11255,0,@USAirways I waited on hold for too long. I shouldn't have to wait on hold forever when I never received a confirm. in the 1st place #help,27
12651,0,@AmericanAir absolutely disappointed in your lack of service. Lost my bag and can't even deliver it after I was told it would happen.,23
3904,0,"@united if you're listening, why are you the lowest provider of inflight wifi? Get with the times!",17
4086,0,@united can you not see the thread?,7
2455,0,@united I'm not sure why I expected anyone to be here http://t.co/bnFlHPXtmw,12
8502,0,@JetBlue C'mon now. My flight's delayed annnnnd you can't give me a pick?!? I'm about to tweet at @united or @Delta .......,22
8559,0,@JetBlue keeps asking me to enter a valid email address. My info is saved and has worked hundreds of times before,21
12872,0,"@AmericanAir already spoke to that line, unwilling to help - really poor support #hitawall",14
13709,0,@AmericanAir wasn't offered a flight out of PHL until TUESDAY so had to ask to be booked to Houston instead of Austin.,22
344,0,@VirginAmerica trying to check-in...but looks like your site is down?,10
12180,0,@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,20
3796,0,@united a good start would be  to warm the plane before the departure time so the flight isn't delayed due to frozen water lines.,24
12318,0,@AmericanAir the whole plane is the same. How old is this plane?  The seats leather is coming apart ay the seams.,21
5204,0,@SouthwestAir why can't i reschedule my flight online?,8
444,0,"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time.",25
4413,0,@SouthwestAir flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us,26
2826,0,@united with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport,27
7590,0,"@JetBlue just had a horrible experience with check in agent at fort myers, I'll document and send details, off to Boston",21
2212,0,@united is the worst,4
1180,0,@united sitting in a plane with no pilot.  Thanks! #waitingonapilot #denver #siouxfalls #whyairtravelsucks,13
168,0,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,18
14168,0,@AmericanAir ah if only we could get through. We've tried for over 2 hrs. Can we call @united?,18
8297,0,@JetBlue I can't do that flight. I need a Late Flightr one! I need you to change my flight. You guys changed it and now I can't do that time!,30
9746,0,@USAirways why won't you help me get my luggage back? I'm a teen trying to change the world in DC #Flight5182 #usairways,22
13296,0,@AmericanAir @cnnbrk she tried they are not doing anything said they would talk to stewardess about serving drunks drinks how does that help,23
5371,0,@SouthwestAir is anyone answering phones to rebook Cancelled Flightled flights?,10
4760,0,"@SouthwestAir @nelsjeff, 3.5 hrs. Late Flightr (no human interaction), ended up $'ing a completely new flight - so last flight out didn't sell out.",24
12314,0,@AmericanAir what's the status of flight 3494 XNA to DFW. I'm getting different reports?,14
4059,0,"@united On top of this, a CSR went ahead and hung up on me after I called United to discuss this.",21
5650,0,"@SouthwestAir No no no. SWA low fares and on-time service is great! But manufactured quirkiness? Mmm, not so much. Signed, -CaptiveAudience",21
6980,0,@JetBlue three hours on s delayed flight staring a blank screen. At least a heads up so you could download a movie,22
6879,0,@JetBlue we would have been up in the air by now. Now our new plane we've been redirected to has mechanical errors aka more delays 2/3,26
9900,0,"@USAirways @AmericanAir @GMA could not have had a worse airline experience. Rude, unhelpful, got yelled at😳. @JetBlue need your help",20
7300,0,@JetBlue are yall going bankrupt or is inflation just really bad these days? You went from $50 to $120 for overweight fees! Outrageous,23
5234,0,@SouthwestAir is Flight 3113 OMA&gt;DEN on 2/21 actually Cancelled Flightled? Been on hold for over an hour and your website says conflicting messages,23
2038,0,@united DUH and done. bag whereabouts unknown. Greeeaat,8
11864,0,"Yes, I filed a report in Atlanta. My bags are in Charlotte, NC. 24 hours Late Flightr and still can't find my luggage ... @USAirways",25
14434,0,@AmericanAir there was also not one single person at the counter answering questions for our plane full of confused people. No staff at all.,24
9838,0,@USAirways @AmericanAir will one of you please answer the phone?,10
985,0,@united once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again,20
1255,0,@united how about starting without the robotic response?,8
6132,0,@SouthwestAir doesn't even have gluten free peanuts. whyyy me??,9
9807,0,@USAirways where's our luggage? Been waiting more than an hour! Flight 2118.,12
4307,0,"@United - Ridiculous to fly outdated 757s anywhere much less btwn IAH and SFO. No power ports, no  Wifi, no personal entertainment. TORTURE",23
12485,0,@AmericanAir Policy makers need to change their mindset on aviation. Flying is not for... http://t.co/DQnn0Rf1V8,15
1651,0,"@united your gate attendant had some snobby remarks, your customer service is like playing poker with my sisters kids!",19
4115,0,@united flight UA3364 been sitting on tarmac for 30 mins with no report as to why...any input?,17
9536,0,@USAirways Seriously doubt that as I am still sitting inside at the gate.,13
3179,0,@united they did on a delta flight out of LAX which is why I should be compensated for my rental car there.,22
5386,0,@SouthwestAir  been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? @SouthwestAir  #BNA,21
11451,0,@USAirways your agent did not say,6
4028,0,"@united I can’t go back to the airport, I’m working, and won’t have time.  Are you telling me there is seriously no other way?",24
4362,0,@SouthwestAir  got my bags 35 hours Late Flightr and an offer of $50 to go pick them up. Taxi costs $65 one way. Spent $200 for the inconvenience.,28
11087,0,@USAirways over 15min hold on your reservation line. embarrassing. AA Platinum member.,12
2211,0,"@united 1st u delay my flight for mechanical failure,then 2 hrs on the runway, &amp; 13 hrs Late Flightr I'm still here with a lost bag &amp; no resolution",29
14586,0,".@AmericanAir nice 2 know. I paid 4 a seat. Then you sold my seat. now I bought a 3rd seat. It's a good scam, but a scam all the same.",30
10656,0,"@USAirways &gt;250k miles on usair.  Last four flights not good. Other airlines much improved. Billing issues, seats, legroom, in air service.",21
1721,0,@united--excited to barrel through the sky at 600mph on a 75 ton piece of metal operated by a company that can't get their tiny TVs to work!,27
2149,0,@united please get me off this plane #UA57,8
2858,0,@united UA1023 sitting on Tarmac at ORD when there are visibly gates open. Reassign our gate.,16
1592,0,@united why do you hate your passengers?,7
9975,0,"@USAirways @ClaudOakeshott don't need this link, after getting a person u now say u don't know where bags are. Lost on a nonstop phx to jfk.",26
13005,0,@AmericanAir on Feb. 15th your rep gave me the record locator and told me I'd be receiving an email with the itinerary and confirmation.,24
12638,0,@AmericanAir yeah and what are they gunna? Nothing your whole organization is a joke,14
990,0,@united has been such a disappointment today. Simply put. Rather unpleased with things currently. Flight delayed; cant wait to just get home,22
2873,0,@united why do I have to go thru the details of the flight I want w/ the recording to then repeat ALL when a real person gets on the line?,30
10287,0,@USAirways who do we voice our concerns to when we can't get home with our 8 month old after waiting to taxi to a gate for 3 hours?,28
1550,0,@united JP - DM message who? Can't get a DM through to @united,13
2464,0,@united Why do I still not have my bags? They arrived @10AM &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy,24
12034,0,@AmericanAir you need to work harder on the disconnect between your intention and the reality your passengers face,18
5212,0,"@SouthwestAir I have sent the DM, should I continue to wait on hold with a rep, or will you be servicing me here?",23
4052,0,"@united Useless response. I need a functioning wheelchair, not a customer care form to fill out.",16
11405,0,@USAirways the voucher you give us for a hotel is useless you call the number they say no rooms available what do you expect me to do?,27
13778,0,@AmericanAir @nrosenb1 it says changes can't be made online,9
3993,0,"@united it's Late Flight... I'm tired and understandably edgy for trying to catch my flight. I wasn't chipper, but I def was not rude.",24
7303,0,@JetBlue im still waiting??? No answer!!,6
2104,0,@united 20 yrs of flying Continental/united exclusively I get why everyone hates you - fl1289sfo/EWR #getmeoffrhisFUCKINplane,16
13489,0,@AmericanAir you have the worst reps at Jacksonville airport. So rude and totally not helpful at all!,17
2407,0,"@united I was insulted, disrespected and met with incompetence at every turn how about a voucher for a domestic round trip",21
2307,0,@united u Cancelled Flighted my flight from IAD to JAX. Was supposed to use plane from BNA but u used that plane for another destination instead. 1/2,27
4032,0,@united haha that's fine. Still won't fly @united ever again. Seems like you guys have more problems than anyone else.,20
11268,0,@USAirways I have run out of patience.. We are sitting in a bus without air in front of plane and there is no communication from anyone40min,26
10213,0,"@USAirways ""good news. We've located the crew and made contact with them"". flight was supposed to leave 4 minutes ago. #usairwaysfail",21
11328,0,@USAirways The captain turned off the seat belt sign so people can get up and walk around.  That's not good.,20
371,0,@VirginAmerica delayed to10.30!!,3
13287,0,@AmericanAir @cnnbrk they didn't address the assult or drinks spilled on her  the drunk passenger had to have a wheelchair to get off plane,24
3051,0,"@United flight 4465 almost half an hour at the Tarmac ""waiting for papers""... Cannot miss my connection at IAH !",20
1750,0,@United You were doing so well until the PHL-SFO flight yesterday. Major miss. Unfriendly Premier cabin crew. Baggage cluster at SFO.,21
198,0,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,20
5747,0,@Southwestair thanks for leaving me hanging here. #destinationdragons flights all fucked up now. No help?!,15
4129,0,@united calling that number was useless. Heading to the airport now to pick up my bags. this whole situation seems like a real joke.,24
12697,0,@AmericanAir I had an advantage # and you deactivated it. I don't think you should deactivate a customers acct without their knowledge #help,23
8763,0,"@JetBlue received horrible customer service at LAX on 2/11. Reservation Cancelled Flighted without notification, despite having confirmation number.",18
6632,0,@SouthwestAir please send me a number to call to talk to a person and not be put on hold,19
9688,0,"@USAirways @AmericanAir as soon as I call customer service to speak to a representative, I am disconnected",17
3223,0,@united this is nuts they said a flight was on the ground now it's still in Albany and they won't have a plane.  Someone is compensating me,27
9902,0,@USAirways I do but the real ? Is why your staff can behave offensively. Flight 699. Please look into it. Message me if you want particulars,26
1056,0,@united I'd thank you - but you didn't help.  taking 6 hours to reply (so I get a message in the middle of the night) isn't actually helpful,28
2630,0,"@united not even mentioning how rude the customer service was to us. As a business owner, I'd be mortified if my employees acted as yours",25
1756,0,"@united thanks for having no one to pilot my last two flights, and all but stranding me in Houston tonight.  Airlines are the absolute worst",25
837,0,@united updated A320 aircraft has wifi and device entertainment but no outlets. I don't get it. How can I charge devices?,21
4482,0,@SouthwestAir Any ETD for SWA1004 from PHL? Appears delayed but no info available at gate.,15
9270,0,"@USAirways i have and you have not been able to locate them, its insane. i trust you and PAY you to look after my things and you lost them.",29
2951,0,@united flight 5187 to be specific. The last two were probably 30 feet apart and within sight of each other,20
126,0,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,23
14451,0,"@AmericanAir My flights tomorrow were Cancelled Flighted, can't do anything online, and can't get through on phone. Help?",18
5579,0,"@SouthwestAir doesn't care nor does SNA agent Jacquie Plitt, rude gal bad attitude! had 2 fly @USAirways 2 CABO thx http://t.co/VbUxfPCKfa",21
3365,0,@united ANOTHER F*CKING DELAY IN THE PAST 32 HOURS!?,9
703,0,"@united according to your DMs, I'm not owed a refund. please may I be provided with a contact number before I go to my bank to file claim",28
2991,0,"@united thanks for delaying our flight for an hour, missing our connecting flight and terrible customer service. #neveragain #vacation",19
3931,0,@united I have received one previously on the 11th having checked. Odd as you said there was no complaint associated with my e-mail?,23
9466,0,@USAirways And the number your agent gave me to call says you are not open? And the main number goes to a computer saying it is delivered?,27
14030,0,"@AmericanAir  To add, I have to get up to go to work tomorrow am.  I don't like having to wait up until 12 or Late Flightr.  CS sucks.",28
4917,0,@SouthwestAir I'm gonna ignore the fasten seatbelt sign and I want to see if ur man enough to do anything about it!!!,22
11525,0,@USAirways so you're going to make me wait that long on the phone line when you can help me? # that's part of the problem,25
2792,0,@united 4016 529557.   You going to transfer my car to me too?  Because it's at the airport you couldn't get me too...,22
4386,0,"@SouthwestAir trying to change my reservation, been on hold for 45 minutes, and can't do it online-was directed to call. Help?",21
9161,0,@USAirways Hi. I'm in LGA but my luggage is in CLT. Have been told to come back tomorrow to collect. Do you guys want to cover my taxi fare?,29
5732,0,@SouthwestAir  Glad to see you know how to keep the money in your own pockets. 'Thanks' for the voucher in return for lost bag.,24
2324,0,"@united no commitment to a good turnaround, an operations mgr would have counted a dozen small issues with individual performance",20
2663,0,"@united Thanks for nothing. Next time I'll bring a whole extra suitcase for my 1 extra pound. That makes sense, right?",21
12914,0,@AmericanAir he is at the Boston airport. There is a problem. The agents will not honor the voucher because one number is rubbed out.,24
4234,0,@united 45 minutes after arrival and no bags for most people. UA469 from den to ewr. How long should we wait until a ual rep comes here?,27
1156,0,@united Arriving at the airport 2 hours before departure time and still missing your flight bc you actually don't have an electronic ticket,23
3448,0,@united the Premier desk was able to rebook me with our friends at @AmericanAir. Only problem is now I have to pay for a checked bag :/,27
14392,0,@AmericanAir no response to DM or email yet.  customer service?,10
8315,0,@JetBlue You mean take more of my time to write you a physical letter because the fraud department doesn't have email or telephones. Right?,24
1263,0,@united I'm on hold for the 4th time waiting for you to resolve and issue with a flight for my 6-year-old son. #terribleservice #NoService,24
12523,0,"@AmericanAir after losing my bags for 4 days&amp;charging me $475 to""arrange pick up""in argentina,claiming tollfree: won't reimburse me. Help!",19
1484,0,@united i did but i got nothing from it. Just dissapointment =(,12
